pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
7.09,10.0,5.7,0.33,3
6.94,12.0,5.4,0.4,3
7.2,9.6,4.9,0.34,3
6.8,11.6,6.3,0.59,4
6.75,11.0,6.2,0.64,4
7.36,9.66,4.8,0.34,3
6.74,10.8,5.3,0.24,3
7.25,8.8,4.5,0.39,3
7.24,8.15,4.4,0.56,3
6.69,9.94,5.4,0.26,3
7.23,8.28,4.3,0.54,3
6.73,9.25,5.7,0.89,3
8.11,7.51,6.4,0.46,4
7.28,8.22,4.9,0.53,3
7.12,9.12,6.5,0.47,4
9.41,7.94,10.8,0.1,6
7.63,7.71,5.7,0.42,3
7.2,7.8,4.8,0.47,3
7.45,7.78,4.8,0.37,3
7.26,7.83,4.2,0.64,3
7.49,8.26,5.1,0.43,3
7.35,7.01,3.5,0.59,3
7.47,7.25,3.1,0.54,3
7.65,7.21,4.0,0.44,2
7.74,6.47,3.9,0.28,2
7.58,7.52,2.9,0.52,3
7.55,7.36,2.9,0.31,2
7.95,9.58,4.0,0.47,2
7.6,7.61,4.3,0.37,3
7.6,7.04,2.4,0.8,3
7.66,7.25,2.5,0.85,3
7.94,6.15,4.4,0.48,3
7.44,7.52,5.5,0.72,3
7.4,6.81,2.9,0.9,3
7.43,6.63,3.6,0.67,3
7.56,8.99,5.2,0.78,3
7.59,6.44,3.3,0.52,3
7.4,6.45,3.5,0.52,3
7.56,5.83,3.6,0.32,3
8.36,6.94,5.2,0.63,3
7.81,7.96,5.3,0.51,3
7.35,8.96,3.8,0.81,3
6.71,9.04,4.7,0.9,3
7.54,5.42,7.6,0.33,4
8.56,13.1,7.8,0.24,4
7.47,7.9,4.9,0.9,3
8.77,8.68,6.0,0.58,3
7.68,6.23,5.0,0.37,3
8.77,8.68,6.0,0.58,3
7.68,6.23,5.0,0.37,3
7.42,6.31,4.0,0.43,2
7.42,6.31,4.0,0.43,2
8.19,9.81,5.9,0.81,3
8.19,9.81,5.9,0.81,3
7.45,5.04,4.0,0.3,3
8.07,8.77,6.4,0.8,4
8.39,10.2,7.7,0.5,4
7.56,6.35,3.9,0.15,2
7.18,5.68,4.6,0.16,3
8.13,5.83,5.4,0.49,3
8.13,5.83,5.4,0.49,3
7.18,5.68,4.6,0.16,3
7.34,8.57,4.8,0.16,3
7.72,7.11,2.4,0.57,3
8.63,7.86,3.5,0.64,3
7.12,8.63,4.1,0.11,3
8.77,8.08,4.9,0.72,3
7.4,6.18,4.4,0.14,3
7.56,5.04,3.0,0.18,3
8.0,6.31,3.9,0.37,2
8.88,7.92,8.5,0.43,4
8.39,9.57,5.9,0.42,3
9.7,11.0,5.6,0.26,6
9.46,10.1,12.5,0.46,6
8.29,8.03,5.6,0.33,3
9.38,8.96,10.2,0.39,6
8.9,7.78,9.4,0.34,4
9.61,10.4,7.1,0.25,6
9.72,9.68,3.9,0.25,6
9.12,8.44,4.1,0.32,6
8.92,7.74,8.8,0.44,4
8.11,8.1,6.7,0.34,4
9.68,8.73,2.1,0.21,6
9.11,7.79,7.3,0.36,6
8.98,7.47,8.3,0.41,4
7.9,6.42,6.4,0.4,4
8.75,9.41,6.0,0.22,3
8.75,7.56,10.2,0.45,5
8.09,8.33,8.9,0.23,4
8.75,8.1,9.6,0.32,4
7.95,7.56,9.4,0.42,4
8.75,9.99,6.2,0.22,4
8.75,8.89,6.4,0.23,4
8.75,8.17,11.8,0.48,5
8.75,6.32,10.9,0.48,5
7.11,4.0,7.6,1.36,4
8.75,10.8,4.7,0.22,3
8.75,10.9,9.5,0.24,4
7.44,5.59,6.7,0.36,4
8.81,6.38,13.4,0.31,5
9.21,8.66,8.1,0.25,6
9.1,9.43,4.7,0.11,6
9.42,8.28,10.4,0.32,6
8.73,8.03,7.9,0.41,4
8.18,5.5,11.2,0.46,5
7.52,3.84,8.3,0.72,4
7.55,3.44,7.7,0.91,4
8.66,7.94,6.1,0.39,4
9.48,8.05,9.7,0.21,6
7.97,5.22,11.4,0.61,5
7.61,2.8,7.8,0.49,5
9.05,8.22,6.1,0.13,6
8.58,5.28,9.6,0.44,4
8.41,6.26,13.3,0.43,5
8.07,4.93,7.9,0.19,4
9.3,9.07,8.6,0.3,6
8.38,3.59,10.9,0.31,5
8.37,5.52,13.9,0.49,5
8.38,6.43,9.1,0.14,4
