                    model_name  fold_idx  f1_weighted
0           LogisticRegression         0     0.618435
1           LogisticRegression         1     0.603944
2           LogisticRegression         2     0.620961
3           LogisticRegression         3     0.601706
4           LogisticRegression         4     0.613637
5   LinearDiscriminantAnalysis         0     0.574188
6   LinearDiscriminantAnalysis         1     0.552364
7   LinearDiscriminantAnalysis         2     0.561346
8   LinearDiscriminantAnalysis         3     0.559837
9   LinearDiscriminantAnalysis         4     0.558916
10                   LinearSVC         0     0.598173
11                   LinearSVC         1     0.580506
12                   LinearSVC         2     0.587042
13                   LinearSVC         3     0.579442
14                   LinearSVC         4     0.590589
15      DecisionTreeClassifier         0     0.988249
16      DecisionTreeClassifier         1     0.989343
17      DecisionTreeClassifier         2     0.990020
18      DecisionTreeClassifier         3     0.988883
19      DecisionTreeClassifier         4     0.989553
20         ExtraTreeClassifier         0     0.877829
21         ExtraTreeClassifier         1     0.893298
22         ExtraTreeClassifier         2     0.924161
23         ExtraTreeClassifier         3     0.921407
24         ExtraTreeClassifier         4     0.919722
25                  GaussianNB         0     0.815997
26                  GaussianNB         1     0.822386
27                  GaussianNB         2     0.812140
28                  GaussianNB         3     0.811707
29                  GaussianNB         4     0.810632
30        KNeighborsClassifier         0     0.886229
31        KNeighborsClassifier         1     0.898966
32        KNeighborsClassifier         2     0.890802
33        KNeighborsClassifier         3     0.895428
34        KNeighborsClassifier         4     0.895546
35      RandomForestClassifier         0     0.993799
36      RandomForestClassifier         1     0.993346
37      RandomForestClassifier         2     0.993999
38      RandomForestClassifier         3     0.995115
39      RandomForestClassifier         4     0.995779
40        ExtraTreesClassifier         0     0.974366
41        ExtraTreesClassifier         1     0.981316
42        ExtraTreesClassifier         2     0.974653
43        ExtraTreesClassifier         3     0.978672
44        ExtraTreesClassifier         4     0.979286



                    model_name  fold_idx  accuracy
0           LogisticRegression         0  0.670291
1           LogisticRegression         1  0.657936
2           LogisticRegression         2  0.674512
3           LogisticRegression         3  0.656007
4           LogisticRegression         4  0.667629
5   LinearDiscriminantAnalysis         0  0.623253
6   LinearDiscriminantAnalysis         1  0.605105
7   LinearDiscriminantAnalysis         2  0.612567
8   LinearDiscriminantAnalysis         3  0.611370
9   LinearDiscriminantAnalysis         4  0.610975
10                   LinearSVC         0  0.648103
11                   LinearSVC         1  0.632408
12                   LinearSVC         2  0.641652
13                   LinearSVC         3  0.632245
14                   LinearSVC         4  0.644523
15      DecisionTreeClassifier         0  0.988019
16      DecisionTreeClassifier         1  0.988679
17      DecisionTreeClassifier         2  0.989787
18      DecisionTreeClassifier         3  0.988452
19      DecisionTreeClassifier         4  0.990447
20         ExtraTreeClassifier         0  0.884624
21         ExtraTreeClassifier         1  0.908768
22         ExtraTreeClassifier         2  0.922957
23         ExtraTreeClassifier         3  0.894737
24         ExtraTreeClassifier         4  0.894246
25                  GaussianNB         0  0.818283
26                  GaussianNB         1  0.824861
27                  GaussianNB         2  0.813499
28                  GaussianNB         3  0.813236
29                  GaussianNB         4  0.812486
30        KNeighborsClassifier         0  0.887065
31        KNeighborsClassifier         1  0.899667
32        KNeighborsClassifier         2  0.890986
33        KNeighborsClassifier         3  0.895847
34        KNeighborsClassifier         4  0.896023
35      RandomForestClassifier         0  0.994231
36      RandomForestClassifier         1  0.992453
37      RandomForestClassifier         2  0.994449
38      RandomForestClassifier         3  0.994892
39      RandomForestClassifier         4  0.995779
40        ExtraTreesClassifier         0  0.977147
41        ExtraTreesClassifier         1  0.975361
42        ExtraTreesClassifier         2  0.976687
43        ExtraTreesClassifier         3  0.980902
44        ExtraTreesClassifier         4  0.978227



TEST:
                   model_name  f1_weighted  accuracy
0          LogisticRegression     0.626072  0.675712
1  LinearDiscriminantAnalysis     0.574934  0.623963
2                   LinearSVC     0.592443  0.644158
3      DecisionTreeClassifier     0.960494  0.960151
4         ExtraTreeClassifier     0.885279  0.884602
5                  GaussianNB     0.823646  0.825099
6        KNeighborsClassifier     0.893097  0.892896
7      RandomForestClassifier     0.965466  0.965110
8        ExtraTreesClassifier     0.956281  0.955914
